page_type,name,url_slug,tier,primary_keyword,secondary_keywords,meta_title,meta_description,h1,assigned_blog,canonical,index_directive
style,Clip-on,/earrings/style/clip-on,Tier 2,clip on earrings,"clip-on earrings for women; non pierced earrings; clip earrings",Clip-On Earrings for Women | Pearl Bloom,"Shop clip-on earrings for women at Pearl Bloom — comfy, cushioned clips for non-pierced ears in anti-tarnish gold-tone. All the drama, no piercing.","Clip-On Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/clip-on,"index,follow"
style,Long,/earrings/style/long,Tier 2,long earrings,"long earrings for women; long dangle earrings; party long earrings",Long Earrings for Women | Pearl Bloom,"Shop long earrings for women at Pearl Bloom — elongating gold-tone drops that stay feather-light and anti-tarnish. Find your neck-lengthening pair now.","Long Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/long,"index,follow"
style,Huggies,/earrings/style/huggies,Tier 2,huggie earrings,"huggie hoops; small hoop earrings; gold huggies; everyday huggies",Huggie Earrings for Women | Pearl Bloom,"Shop huggie earrings for women at Pearl Bloom — snug, stackable mini hoops in skin-safe, anti-tarnish gold-tone. Your new everyday staple awaits.","Huggie Earrings for Women",how-to-style-hoop-earrings-face-shape,https://pearlbloom.in/earrings/style/huggies,"index,follow"
style,Bali,/earrings/style/bali,Tier 2,bali earrings,"bali earrings for women; gold bali; traditional bali earrings; oxidised bali",Bali Earrings for Women | Pearl Bloom,"Shop bali earrings for women at Pearl Bloom — textured traditional hoops in lightweight, anti-tarnish gold-tone for daily and festive wear. Buy online.","Bali Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/bali,"index,follow"
finish,Gold Plated,/earrings/finish/gold-plated,Tier 1,gold plated earrings,"gold plated earrings for women; gold plated studs; gold plated hoops; anti-tarnish gold plated",Gold Plated Earrings for Women | Pearl Bloom,"Shop gold plated earrings at Pearl Bloom — rich gold-tone shine over a durable core, anti-tarnish and skin-safe. A luxe gold look at everyday prices.","Gold Plated Earrings for Women",are-gold-plated-earrings-worth-it,https://pearlbloom.in/earrings/finish/gold-plated,"index,follow"
finish,Gold Tone,/earrings/finish/gold-tone,Tier 2,gold tone earrings,"gold tone earrings for women; gold colour earrings; gold finish earrings",Gold Tone Earrings for Women | Pearl Bloom,"Shop gold tone earrings at Pearl Bloom — warm, flattering gold colour that lasts, anti-tarnish and skin-safe. Everyday gold shine without the price tag.","Gold Tone Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/gold-tone,"index,follow"
finish,Anti Tarnish,/earrings/finish/anti-tarnish,Tier 1,anti tarnish earrings,"anti-tarnish earrings for women; tarnish-free earrings; waterproof earrings; long lasting earrings",Anti-Tarnish Earrings for Women | Pearl Bloom,"Shop anti-tarnish earrings at Pearl Bloom — shielded gold-tone that stays bright shower after shower, skin-safe and light. Set-and-forget shine awaits.","Anti-Tarnish Earrings for Women",anti-tarnish-waterproof-earrings-care,https://pearlbloom.in/earrings/finish/anti-tarnish,"index,follow"
finish,Waterproof,/earrings/finish/waterproof,Tier 2,waterproof earrings,"waterproof earrings for women; sweat proof earrings; shower-safe earrings; gym earrings",Waterproof Earrings for Women | Pearl Bloom,"Shop waterproof earrings at Pearl Bloom — sweat-, shower- and swim-safe gold-tone that resists fading, skin-safe and light. Wear them everywhere, daily.","Waterproof Earrings for Women",anti-tarnish-waterproof-earrings-care,https://pearlbloom.in/earrings/finish/waterproof,"index,follow"
finish,Oxidised,/earrings/finish/oxidised,Tier 1,oxidised earrings,"oxidised earrings for women; oxidised silver earrings; german silver earrings; oxidised jhumka",Oxidised Earrings for Women | Pearl Bloom,"Shop oxidised earrings at Pearl Bloom — antique-finish silver-tone with heritage depth, lightweight and skin-safe. Pair boho and ethnic looks with ease.","Oxidised Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/oxidised,"index,follow"
finish,Silver Tone,/earrings/finish/silver-tone,Tier 1,silver tone earrings,"silver tone earrings for women; silver colour earrings; silver finish earrings",Silver Tone Earrings for Women | Pearl Bloom,"Shop silver tone earrings at Pearl Bloom — bright, cool-toned shine for a clean modern edge, anti-tarnish and skin-safe. A neutral that goes with all.","Silver Tone Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/silver-tone,"index,follow"
finish,Enamel,/earrings/finish/enamel,Tier 2,enamel earrings,"enamel earrings for women; colourful earrings; meenakari earrings",Enamel Earrings for Women | Pearl Bloom,"Shop enamel earrings at Pearl Bloom — glossy, chip-resistant colour fused to skin-safe metal, light and anti-tarnish. Add a vivid pop to any outfit.","Enamel Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/enamel,"index,follow"
finish,Pearl,/earrings/finish/pearl,Tier 2,pearl earrings,"pearl earrings for women; pearl studs; pearl drop earrings; bridal pearl earrings",Pearl Earrings for Women | Pearl Bloom,"Shop pearl earrings at Pearl Bloom — soft-lustre faux and shell pearls, lightweight and skin-safe. Timeless elegance for work and weddings alike.","Pearl Earrings for Women",anti-tarnish-waterproof-earrings-care,https://pearlbloom.in/earrings/finish/pearl,"index,follow"
finish,Crystal,/earrings/finish/crystal,Tier 2,crystal earrings,"crystal earrings for women; crystal studs; sparkly earrings; party crystal earrings",Crystal Earrings for Women | Pearl Bloom,"Shop crystal earrings at Pearl Bloom — faceted stones cut for maximum sparkle, lightweight and skin-safe. The quick way to add shine to any look.","Crystal Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/crystal,"index,follow"
finish,CZ,/earrings/finish/cz,Tier 2,CZ earrings,"cubic zirconia earrings; CZ studs; CZ earrings for women; sparkly stud earrings",CZ Earrings for Women | Pearl Bloom,"Shop CZ earrings at Pearl Bloom — cubic zirconia with diamond-bright clarity, lightweight and skin-safe. Luxe sparkle at honestly affordable prices.","CZ Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/cz,"index,follow"
finish,American Diamond,/earrings/finish/american-diamond,Tier 2,American Diamond earrings,"AD earrings; american diamond earrings for women; AD stud earrings; ad jhumka",American Diamond Earrings | Pearl Bloom,"Shop American Diamond earrings at Pearl Bloom — premium AD stones set for red-carpet glitter, light and skin-safe. Brilliant shine, beautifully affordable.","American Diamond Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/american-diamond,"index,follow"
finish,Stone,/earrings/finish/stone,Tier 2,stone earrings,"stone earrings for women; coloured stone earrings; green stone earrings; ruby stone earrings",Stone Earrings for Women | Pearl Bloom,"Shop stone earrings at Pearl Bloom — jewel-toned colour in ruby red, emerald green and more, light and skin-safe. Add a pop of colour to any outfit.","Stone Earrings for Women",oxidised-vs-gold-tone-vs-silver-tone,https://pearlbloom.in/earrings/finish/stone,"index,follow"
finish,Kundan,/earrings/finish/kundan,Tier 2,kundan earrings,"kundan earrings for women; bridal kundan; kundan jhumka; festive kundan earrings",Kundan Earrings for Women | Pearl Bloom,"Shop kundan earrings at Pearl Bloom — regal glass-set gold-tone craft for festive and bridal looks, light and skin-safe. Heritage grandeur, made easy.","Kundan Earrings for Women",how-to-style-jhumkas-and-chandbalis,https://pearlbloom.in/earrings/finish/kundan,"index,follow"
occasion,Daily Wear,/earrings/occasion/daily-wear,Tier 1,daily wear earrings,"daily wear earrings for women; everyday earrings; lightweight earrings; office daily earrings",Daily Wear Earrings for Women | Pearl Bloom,"Shop daily wear earrings at Pearl Bloom — ultralight studs and hoops for all-day comfort, anti-tarnish and skin-safe. So light you'll forget them on.","Daily Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/daily-wear,"index,follow"
occasion,Office Wear,/earrings/occasion/office-wear,Tier 1,office wear earrings,"office wear earrings for women; formal earrings; work earrings; minimalist earrings",Office Wear Earrings for Women | Pearl Bloom,"Shop office wear earrings at Pearl Bloom — refined, minimalist gold-tone classics for the workday, light and anti-tarnish. Polished from 9 to 9.","Office Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/office-wear,"index,follow"
occasion,Party Wear,/earrings/occasion/party-wear,Tier 1,party wear earrings,"party wear earrings for women; party earrings; evening earrings; statement party earrings",Party Wear Earrings for Women | Pearl Bloom,"Shop party wear earrings at Pearl Bloom — vibrant, light-catching statements for evenings out, light and anti-tarnish. Steal the show tonight.","Party Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/party-wear,"index,follow"
occasion,Festive Wear,/earrings/occasion/festive-wear,Tier 2,festive wear earrings,"festive earrings for women; diwali earrings; traditional earrings; festive jhumka",Festive Wear Earrings for Women | Pearl Bloom,"Shop festive wear earrings at Pearl Bloom — traditional jhumkas and chandbalis for every celebration, light and skin-safe. Festival-ready sparkle awaits.","Festive Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/festive-wear,"index,follow"
occasion,Wedding Wear,/earrings/occasion/wedding-wear,Tier 1,wedding wear earrings,"wedding earrings for women; wedding guest earrings; heavy earrings; chandbali wedding earrings",Wedding Wear Earrings for Women | Pearl Bloom,"Shop wedding wear earrings at Pearl Bloom — show-stopping grandeur that stays feather-light, skin-safe and anti-tarnish. Shine through every ceremony.","Wedding Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/wedding-wear,"index,follow"
occasion,Bridal,/earrings/occasion/bridal,Tier 2,bridal earrings,"bridal earrings for women; bridal jhumka; dulhan earrings; wedding bridal earrings",Bridal Earrings for Women | Pearl Bloom,"Shop bridal earrings at Pearl Bloom — heirloom-style chandbalis and jhumkas for your big day, light and skin-safe. Photograph-ready, all-day comfort.","Bridal Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/bridal,"index,follow"
occasion,College Wear,/earrings/occasion/college-wear,Tier 2,college wear earrings,"college earrings for women; trendy earrings; everyday college earrings; affordable earrings",College Wear Earrings for Women | Pearl Bloom,"Shop college wear earrings at Pearl Bloom — trend-led, budget-friendly picks that go lecture-to-evening, light and anti-tarnish. Campus-ready every day.","College Wear Earrings for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/college-wear,"index,follow"
occasion,Gift,/earrings/occasion/gift,Tier 2,earrings gift,"earring gifts for women; gift earrings; birthday gift earrings; gift for her",Earring Gifts for Women | Pearl Bloom,"Shop earring gifts at Pearl Bloom — pre-boxed, curated pairs to love, light, skin-safe and anti-tarnish. Thoughtful gifting without breaking the bank.","Earring Gifts for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/gift,"index,follow"
occasion,Earrings Set,/earrings/occasion/set,Tier 2,earrings set,"earring sets for women; combo earrings; multipack earrings; stud set",Earrings Set for Women | Pearl Bloom,"Shop earrings sets at Pearl Bloom — curated combo and stacking packs at great value, light, skin-safe and anti-tarnish. Build your perfect ear stack.","Earrings Sets for Women",earrings-for-every-occasion,https://pearlbloom.in/earrings/occasion/set,"index,follow"
blog-pillar,Types of Earrings: A Complete Guide,/blog/types-of-earrings-guide,Pillar,types of earrings,"earring styles; types of earrings with names; earring shapes guide",Types of Earrings: A Complete Guide | Pearl Bloom,"A complete guide to types of earrings — studs, hoops, drops, jhumkas, chandbalis and more, with styling tips to help you pick the right pair. Read on.","Types of Earrings: A Complete Guide","Cluster: all 13 styles + hub",https://pearlbloom.in/blog/types-of-earrings-guide,"index,follow"
blog-pillar,Anti-Tarnish & Waterproof Earrings Care,/blog/anti-tarnish-waterproof-earrings-care,Pillar,anti-tarnish earrings,"waterproof earrings; how to care for earrings; do anti-tarnish earrings work; earring care tips",Anti-Tarnish & Waterproof Earrings Care | Pearl Bloom,"How anti-tarnish and waterproof earrings work, plus simple care tips to keep your gold-tone pairs bright and skin-safe for longer. Make them last.","Anti-Tarnish & Waterproof Earrings: How They Work & Care Tips","Cluster: anti-tarnish, waterproof, gold-plated, gold-tone, pearl",https://pearlbloom.in/blog/anti-tarnish-waterproof-earrings-care,"index,follow"
blog-pillar,Earrings for Every Occasion: Daily to Bridal,/blog/earrings-for-every-occasion,Pillar,earrings for every occasion,"occasion earrings; daily to bridal earrings; party earrings; office earrings",Earrings for Every Occasion: Daily to Bridal | Pearl Bloom,"From daily wear to bridal, find the right earrings for every occasion — office, college, party, festive and wedding looks made easy. Get the guide.","Earrings for Every Occasion: Daily to Bridal","Cluster: all 9 occasions + hub",https://pearlbloom.in/blog/earrings-for-every-occasion,"index,follow"
blog-pillar,Oxidised vs Gold-Tone vs Silver-Tone,/blog/oxidised-vs-gold-tone-vs-silver-tone,Pillar,oxidised vs gold tone vs silver tone,"earring finishes; which earring finish; gold tone vs silver tone; oxidised earrings",Oxidised vs Gold-Tone vs Silver-Tone Earrings | Pearl Bloom,"Oxidised, gold-tone or silver-tone? Compare the three most popular earring finishes on look, care and styling to pick the right one for you. Read more.","Oxidised vs Gold-Tone vs Silver-Tone: Picking Your Finish","Cluster: oxidised, gold-tone, silver-tone, gold-plated, anti-tarnish, crystal, cz, american-diamond, stone, enamel",https://pearlbloom.in/blog/oxidised-vs-gold-tone-vs-silver-tone,"index,follow"
blog-pillar,How to Style Jhumkas & Chandbalis,/blog/how-to-style-jhumkas-and-chandbalis,Pillar,how to style jhumkas,"how to wear chandbali; jhumka outfit ideas; jhumkas with western outfits; ethnic earrings styling",How to Style Jhumkas & Chandbalis | Pearl Bloom,"How to style jhumkas and chandbalis with both Indian and Western outfits — face shapes, hairstyles and occasion tips to wear them with confidence.","How to Style Jhumkas & Chandbalis with Indian & Western Outfits","Cluster: jhumka, chandbali, kundan, festive-wear, wedding-wear, bridal",https://pearlbloom.in/blog/how-to-style-jhumkas-and-chandbalis,"index,follow"
blog-focused,How to Style Hoop Earrings for Your Face Shape,/blog/how-to-style-hoop-earrings-face-shape,Focused,how to style hoop earrings,"hoops for face shape; best hoops for round face; hoop earring sizes; styling hoops",How to Style Hoop Earrings for Your Face | Pearl Bloom,"Find the best hoop earrings for your face shape — round, oval, square or heart — with sizing and styling tips for an everyday flattering look. Read on.","How to Style Hoop Earrings for Your Face Shape","Cluster: hoop, huggies, bali",https://pearlbloom.in/blog/how-to-style-hoop-earrings-face-shape,"index,follow"
blog-focused,Stud Earrings: Everyday Style Guide,/blog/stud-earrings-everyday-style-guide,Focused,stud earrings guide,"how to wear studs; everyday stud earrings; stud earring styles; studs for daily wear",Stud Earrings: Everyday Style Guide | Pearl Bloom,"A simple guide to stud earrings — the everyday styles that go with everything, plus tips on comfort, care and building a daily stud rotation. Read on.","Stud Earrings Guide: Everyday Styles That Go With Everything","Cluster: stud, daily-wear, office-wear",https://pearlbloom.in/blog/stud-earrings-everyday-style-guide,"index,follow"
blog-focused,Are Gold Plated Earrings Worth It?,/blog/are-gold-plated-earrings-worth-it,Focused,are gold plated earrings worth it,"gold plated earrings quality; do gold plated earrings fade; gold plated vs gold tone; gold plated care",Are Gold Plated Earrings Worth It? | Pearl Bloom,"Are gold plated earrings worth it? We explain quality, durability, anti-tarnish coatings and care so you can buy gold-tone with confidence. Find out.","Are Gold Plated Earrings Worth It? Quality & Care Explained","Cluster: gold-plated, gold-tone, anti-tarnish",https://pearlbloom.in/blog/are-gold-plated-earrings-worth-it,"index,follow"
